area_sqm,bedrooms,bathrooms,age_years,neighborhood,has_garage,distance_to_center_km,price_k
86.8,1,1.0,47.0,riverside,0,3.0,239.6
97.3,2,1.0,51.0,oldtown,1,9.0,302.5
96.6,3,1.0,57.0,greenfield,0,5.7,327.0
68.1,2,1.0,36.0,hillview,0,7.1,241.9
127.0,4,2.0,14.0,riverside,1,7.0,664.4
93.6,2,1.0,33.0,riverside,0,12.0,302.4
110.4,3,2.0,42.0,eastgate,1,4.6,363.7
126.8,5,3.0,6.0,greenfield,0,8.7,453.8
125.6,4,2.0,45.0,greenfield,1,4.9,432.9
133.3,4,2.0,29.0,eastgate,0,0.6,464.5
106.6,3,1.0,56.0,greenfield,0,9.3,286.1
95.2,2,1.0,12.0,eastgate,1,6.0,389.9
107.2,2,1.0,54.0,oldtown,1,1.4,404.5
50.9,2,2.0,26.0,eastgate,1,2.4,214.9
59.4,2,2.0,34.0,riverside,0,12.3,219.4
63.7,1,1.0,39.0,riverside,1,1.5,273.4
75.1,2,1.0,34.0,hillview,1,4.5,255.8
124.0,3,1.0,54.0,oldtown,1,22.6,370.2
78.3,2,1.0,10.0,greenfield,1,9.4,245.5
96.8,3,2.0,43.0,greenfield,0,11.1,259.2
155.5,3,2.0,58.0,oldtown,1,5.3,547.0
97.5,3,2.0,13.0,eastgate,1,1.3,402.5
135.8,4,2.0,15.0,hillview,1,7.7,555.6
77.3,2,1.0,28.0,riverside,1,2.5,339.7
102.8,1,1.0,43.0,oldtown,1,2.3,353.4
76.7,2,2.0,57.0,oldtown,1,7.0,228.8
98.1,4,2.0,47.0,oldtown,0,2.7,378.7
139.4,2,1.0,47.0,oldtown,1,7.0,561.6
49.5,1,1.0,26.0,riverside,1,3.7,231.6
125.2,3,1.0,38.0,oldtown,1,6.3,424.4
118.3,4,2.0,12.0,greenfield,0,4.3,408.7
89.2,2,1.0,27.0,riverside,1,6.4,373.7
59.4,2,1.0,11.0,oldtown,1,17.1,167.9
109.8,4,2.0,1.0,hillview,1,11.3,519.0
91.5,4,2.0,51.0,oldtown,0,5.9,321.4
118.1,3,2.0,48.0,hillview,0,15.3,366.6
110.8,3,2.0,30.0,riverside,0,8.7,512.4
166.1,4,2.0,0.0,eastgate,0,14.6,513.1
101.6,4,1.0,5.0,eastgate,1,1.7,390.4
74.2,2,2.0,6.0,eastgate,0,2.7,282.7
116.3,3,2.0,43.0,eastgate,1,7.6,377.6
117.7,3,1.0,12.0,oldtown,0,5.7,523.9
157.6,4,1.0,15.0,oldtown,0,6.4,604.4
109.8,4,3.0,51.0,oldtown,1,9.8,516.4
122.5,4,2.0,52.0,hillview,1,7.6,447.7
161.2,5,2.0,45.0,riverside,0,12.1,672.3
68.4,1,1.0,18.0,oldtown,0,11.8,232.1
87.6,2,1.0,34.0,eastgate,1,2.8,322.0
77.6,3,1.0,12.0,riverside,1,0.6,368.5
96.4,2,1.0,51.0,riverside,0,2.7,335.6
61.8,1,1.0,5.0,eastgate,1,2.5,258.2
132.2,4,2.0,44.0,oldtown,0,6.8,385.6
102.2,3,2.0,30.0,oldtown,1,6.7,364.7
58.5,2,1.0,45.0,greenfield,0,5.5,183.1
74.5,3,2.0,27.0,greenfield,1,9.0,240.6
121.0,4,2.0,9.0,oldtown,1,29.3,413.9
139.3,4,1.0,45.0,riverside,0,5.4,450.0
179.9,6,3.0,37.0,eastgate,1,7.8,582.4
212.0,6,3.0,27.0,eastgate,0,6.4,684.8
124.5,3,2.0,22.0,eastgate,0,4.0,388.6
75.4,2,1.0,20.0,oldtown,0,9.9,229.8
40.0,1,1.0,28.0,riverside,0,5.2,136.5
119.4,3,2.0,15.0,oldtown,1,3.3,481.8
81.5,2,1.0,16.0,riverside,0,3.5,419.7
95.5,4,2.0,16.0,riverside,1,12.4,428.6
88.6,3,1.0,0.0,greenfield,0,9.7,324.5
105.1,3,2.0,55.0,riverside,1,4.3,414.1
147.3,5,2.0,14.0,eastgate,1,8.9,491.7
115.5,3,2.0,9.0,greenfield,1,6.5,380.2
104.4,3,1.0,9.0,oldtown,0,7.9,351.0
73.8,2,1.0,59.0,hillview,0,3.9,190.9
51.4,1,1.0,28.0,eastgate,1,2.6,173.3
93.0,3,1.0,19.0,oldtown,1,5.1,401.1
109.8,4,2.0,24.0,hillview,1,3.0,439.6
171.9,5,2.0,5.0,oldtown,0,2.8,622.1
114.6,3,1.0,18.0,eastgate,0,1.8,346.3
144.4,4,2.0,14.0,greenfield,1,0.6,543.6
92.5,2,2.0,48.0,oldtown,1,4.4,319.5
68.5,2,2.0,3.0,oldtown,1,14.0,253.0
76.2,2,2.0,25.0,eastgate,0,11.7,202.2
84.6,3,2.0,47.0,eastgate,0,18.8,225.9
184.5,4,3.0,50.0,eastgate,1,2.7,603.0
81.3,3,2.0,30.0,eastgate,1,10.3,233.1
139.3,4,2.0,13.0,eastgate,0,5.8,474.6
78.4,2,1.0,20.0,oldtown,1,3.5,261.0
109.8,3,2.0,13.0,oldtown,1,12.9,539.2
123.5,4,2.0,39.0,eastgate,0,5.9,396.6
104.5,4,1.0,17.0,oldtown,0,1.1,389.9
108.6,4,2.0,37.0,riverside,1,7.0,337.5
87.1,2,2.0,39.0,eastgate,0,8.4,234.7
125.6,4,2.0,56.0,eastgate,1,7.1,389.9
94.1,3,2.0,22.0,hillview,1,2.2,452.9
67.1,1,1.0,57.0,hillview,0,7.7,181.2
65.3,2,1.0,24.0,oldtown,1,7.0,183.6
116.0,4,2.0,40.0,riverside,0,8.3,501.7
165.3,5,2.0,39.0,oldtown,0,1.5,600.1
115.6,3,1.0,49.0,greenfield,1,7.0,308.4
105.8,3,2.0,28.0,oldtown,1,8.3,304.8
120.0,4,3.0,47.0,greenfield,0,10.9,362.8
155.7,5,2.0,21.0,oldtown,1,8.2,586.1
109.8,2,1.0,29.0,eastgate,1,2.8,389.8
95.6,3,1.0,29.0,eastgate,1,6.8,250.6
148.7,4,2.0,42.0,eastgate,1,7.0,456.2
125.0,3,2.0,37.0,eastgate,0,7.4,385.1
163.8,5,3.0,4.0,eastgate,0,13.2,517.8
116.4,4,2.0,48.0,greenfield,1,3.7,404.5
67.1,1,1.0,45.0,eastgate,0,7.0,79.9
62.1,2,1.0,6.0,oldtown,1,8.7,299.3
167.8,4,2.0,57.0,oldtown,0,11.6,555.2
170.3,4,2.0,39.0,eastgate,0,10.6,531.0
103.7,4,3.0,5.0,hillview,0,8.5,471.3
96.6,2,1.0,29.0,hillview,0,7.0,316.2
161.2,5,3.0,50.0,eastgate,0,0.3,511.1
71.3,1,1.0,16.0,oldtown,1,10.6,264.1
78.7,3,1.0,55.0,eastgate,1,3.0,202.6
132.5,4,2.0,25.0,eastgate,0,6.2,424.5
96.2,3,2.0,13.0,eastgate,0,8.4,305.8
109.8,3,1.0,21.0,eastgate,1,13.6,329.2
104.3,2,2.0,31.0,greenfield,0,3.0,305.4
121.8,4,2.0,41.0,eastgate,1,4.5,345.2
159.3,4,3.0,29.0,greenfield,1,5.0,536.8
113.2,3,1.0,11.0,riverside,1,7.5,552.1
132.5,3,2.0,57.0,eastgate,1,5.3,340.2
40.0,1,1.0,31.0,eastgate,1,9.6,109.3
108.3,4,2.0,7.0,hillview,1,1.2,563.1
80.5,2,1.0,55.0,oldtown,1,5.8,263.6
67.3,2,1.0,20.0,eastgate,0,18.3,144.1
79.3,2,1.0,37.0,oldtown,0,7.0,230.7
98.3,3,1.0,41.0,greenfield,0,8.7,287.1
142.1,4,1.0,0.0,oldtown,0,12.2,542.4
63.6,3,2.0,13.0,riverside,1,8.5,323.1
111.1,2,1.0,41.0,oldtown,0,22.0,236.2
93.1,3,2.0,19.0,oldtown,0,6.9,312.3
98.5,4,1.0,0.0,oldtown,0,10.0,476.2
145.1,4,2.0,1.0,oldtown,1,7.7,528.2
128.8,5,2.0,49.0,riverside,1,15.9,471.5
104.6,4,2.0,6.0,eastgate,0,23.1,348.3
85.6,2,2.0,33.0,eastgate,0,3.8,244.7
102.2,3,1.0,7.0,eastgate,1,19.4,341.3
118.5,3,1.0,39.0,oldtown,1,2.7,416.9
116.2,4,3.0,32.0,oldtown,1,10.2,468.6
72.0,3,2.0,38.0,greenfield,1,6.5,276.9
109.8,3,2.0,29.0,eastgate,0,12.1,311.4
118.0,3,1.0,46.0,riverside,1,8.9,510.5
198.1,6,4.0,38.0,oldtown,1,11.6,690.1
175.7,6,4.0,24.0,oldtown,1,2.6,710.4
80.1,3,1.0,0.0,eastgate,1,7.0,315.4
99.9,3,1.0,16.0,eastgate,0,2.2,372.9
109.8,2,1.0,7.0,greenfield,0,2.2,255.9
89.3,2,1.0,0.0,greenfield,1,2.6,325.4
121.0,3,2.0,16.0,oldtown,1,4.0,476.4
152.2,3,2.0,12.0,eastgate,0,4.0,512.8
84.5,3,2.0,4.0,oldtown,0,6.6,335.9
87.1,2,1.0,18.0,eastgate,1,3.2,366.7
40.0,1,1.0,30.0,eastgate,0,3.4,116.5
104.3,1,1.0,10.0,oldtown,0,5.5,445.5
72.8,1,1.0,16.0,riverside,1,13.2,315.4
109.8,3,1.0,1.0,riverside,1,7.0,462.3
79.3,2,1.0,3.0,riverside,1,6.2,420.9
106.7,3,1.0,9.0,oldtown,1,7.0,380.7
48.5,1,1.0,27.0,greenfield,0,2.9,137.2
58.7,3,1.0,39.0,hillview,1,5.0,264.5
184.5,5,3.0,47.0,eastgate,1,3.7,645.8
64.9,2,1.0,37.0,greenfield,1,7.0,152.0
71.6,3,2.0,37.0,eastgate,1,11.7,183.4
174.3,6,3.0,56.0,oldtown,0,3.4,655.9
211.7,6,3.0,15.0,greenfield,0,6.2,737.1
69.0,2,2.0,47.0,eastgate,0,7.0,156.4
109.8,3,1.0,56.0,eastgate,0,7.0,270.8
122.0,4,1.0,34.0,greenfield,1,8.8,386.2
170.5,5,3.0,50.0,eastgate,0,2.9,486.0
75.5,2,1.0,8.0,hillview,1,19.0,232.7
101.4,4,2.0,52.0,greenfield,0,3.9,320.0
137.2,4,2.0,33.0,oldtown,0,3.8,506.0
125.2,5,2.0,13.0,greenfield,0,2.0,479.5
96.8,3,1.0,3.0,riverside,0,5.7,421.6
105.3,4,2.0,43.0,riverside,1,14.2,459.7
61.9,2,1.0,25.0,hillview,1,8.1,303.8
101.7,3,1.0,18.0,riverside,0,6.1,417.8
100.7,2,1.0,23.0,greenfield,1,11.1,323.7
118.1,3,1.0,59.0,riverside,1,13.9,381.3
90.6,3,1.0,25.0,riverside,1,11.7,267.1
126.5,4,2.0,4.0,oldtown,0,1.0,589.4
145.4,4,2.0,16.0,greenfield,0,11.2,472.2
115.4,3,1.0,8.0,oldtown,1,9.1,441.4
122.3,3,1.0,41.0,riverside,1,3.3,498.7
111.9,2,1.0,48.0,riverside,0,9.1,426.4
110.0,2,1.0,50.0,eastgate,1,7.0,183.3
84.7,2,1.0,37.0,greenfield,0,4.1,244.0
121.1,4,3.0,46.0,greenfield,1,12.2,380.7
106.6,3,1.0,25.0,oldtown,0,8.3,354.1
123.5,3,2.0,32.0,hillview,0,8.0,430.9
83.3,4,3.0,33.0,eastgate,1,5.1,356.7
71.1,1,1.0,1.0,oldtown,0,8.5,222.7
151.7,4,1.0,32.0,eastgate,1,7.0,523.1
119.2,4,2.0,43.0,greenfield,1,7.0,312.9
126.8,4,2.0,22.0,riverside,0,4.9,563.8
48.9,2,1.0,32.0,oldtown,0,3.4,156.8
142.5,4,2.0,17.0,oldtown,1,11.8,537.7
125.9,4,2.0,16.0,oldtown,1,5.4,612.9
71.1,2,1.0,7.0,riverside,1,7.0,325.1
93.5,2,1.0,19.0,eastgate,0,5.7,284.3
119.2,4,1.0,48.0,riverside,1,11.4,444.3
111.8,2,1.0,56.0,eastgate,1,2.6,286.6
99.8,3,2.0,38.0,greenfield,1,12.2,282.8
106.4,3,1.0,37.0,greenfield,0,9.6,280.9
101.2,3,2.0,36.0,eastgate,0,20.8,223.5
115.3,3,1.0,28.0,oldtown,1,7.6,433.4
161.5,4,2.0,25.0,riverside,1,2.8,755.0
40.0,1,1.0,37.0,oldtown,0,7.6,149.4
101.7,3,2.0,47.0,greenfield,1,8.3,253.0
116.2,3,2.0,24.0,greenfield,0,15.0,363.1
120.4,4,2.0,33.0,oldtown,0,2.8,457.6
97.0,2,2.0,28.0,oldtown,0,1.5,376.9
48.5,2,1.0,17.0,hillview,0,7.8,207.1
121.5,3,1.0,17.0,oldtown,0,21.4,369.7
170.5,5,3.0,4.0,greenfield,0,10.6,613.3
56.3,1,1.0,26.0,oldtown,0,11.1,132.7
140.2,5,3.0,42.0,oldtown,1,1.9,575.9
98.5,3,2.0,41.0,hillview,1,6.8,332.6
107.9,3,2.0,59.0,riverside,1,15.2,391.6
73.1,2,1.0,2.0,oldtown,0,8.4,280.9
98.3,2,1.0,45.0,greenfield,1,1.4,303.6
155.5,4,1.0,47.0,riverside,0,6.7,616.5
130.4,5,3.0,26.0,eastgate,1,10.1,437.5
125.4,4,2.0,40.0,riverside,0,12.1,526.6
171.0,5,2.0,51.0,oldtown,1,4.7,611.7
125.4,2,1.0,38.0,riverside,1,9.0,512.9
139.0,3,1.0,30.0,oldtown,1,6.6,525.0
99.6,3,2.0,39.0,greenfield,1,4.6,311.7
112.3,3,2.0,4.0,eastgate,1,23.0,298.6
85.6,3,2.0,36.0,greenfield,0,4.1,280.1
144.6,4,2.0,2.0,hillview,1,7.0,673.0
68.8,1,1.0,57.0,eastgate,0,7.0,97.6
137.4,3,2.0,53.0,eastgate,1,7.6,381.4
103.3,1,1.0,30.0,oldtown,0,21.9,274.5
151.0,4,1.0,22.0,oldtown,1,10.1,559.5
136.3,4,2.0,43.0,hillview,1,4.5,593.0
173.7,5,2.0,38.0,eastgate,0,17.5,458.6
135.6,5,2.0,42.0,hillview,0,11.4,574.0
55.0,2,1.0,30.0,oldtown,0,4.6,144.3
107.7,3,1.0,14.0,greenfield,1,7.0,287.8
69.0,1,1.0,4.0,riverside,1,1.9,355.7
91.9,3,2.0,16.0,greenfield,0,2.5,300.5
162.9,5,2.0,31.0,greenfield,1,1.3,590.7
132.3,4,1.0,25.0,greenfield,1,0.7,483.1
85.5,3,2.0,30.0,eastgate,0,15.0,224.5
74.5,1,1.0,16.0,riverside,1,7.7,248.3
111.1,4,2.0,56.0,eastgate,0,1.5,349.5
67.4,1,1.0,22.0,eastgate,0,6.4,183.7
86.5,3,1.0,50.0,eastgate,0,12.5,235.7
120.9,2,2.0,23.0,oldtown,1,7.0,451.8
150.4,4,3.0,26.0,oldtown,0,5.1,546.9
131.3,5,3.0,36.0,oldtown,0,23.7,362.9
40.0,1,1.0,15.0,hillview,1,5.5,173.1
120.7,4,2.0,13.0,eastgate,1,1.6,413.1
112.5,3,1.0,22.0,greenfield,1,4.3,360.7
124.5,3,1.0,48.0,eastgate,0,1.4,385.6
166.6,6,3.0,8.0,eastgate,1,10.7,538.4
40.0,1,1.0,26.0,oldtown,0,3.1,175.3
89.3,1,1.0,40.0,hillview,1,3.0,337.2
130.7,3,1.0,42.0,oldtown,0,25.1,343.2
54.6,2,1.0,26.0,oldtown,0,2.2,175.9
122.9,3,2.0,0.0,oldtown,1,2.6,531.9
139.6,4,2.0,28.0,oldtown,0,12.8,465.1
90.0,2,1.0,48.0,eastgate,0,9.7,224.6
138.5,4,2.0,1.0,riverside,1,4.2,650.6
147.4,3,2.0,53.0,oldtown,1,3.9,472.7
109.8,3,1.0,40.0,riverside,0,9.2,420.8
118.2,3,2.0,0.0,eastgate,1,7.9,432.2
119.5,4,2.0,20.0,eastgate,1,5.8,416.3
79.8,3,2.0,13.0,oldtown,0,10.0,330.3
104.8,3,2.0,56.0,riverside,1,2.4,412.3
104.7,3,1.0,33.0,greenfield,1,3.2,376.9
123.4,4,1.0,19.0,eastgate,0,10.4,381.3
145.0,4,2.0,16.0,eastgate,0,8.4,445.4
73.0,1,1.0,33.0,hillview,0,6.8,252.2
105.6,2,1.0,0.0,greenfield,0,24.5,288.8
161.9,4,2.0,15.0,greenfield,1,11.6,538.3
84.0,2,2.0,9.0,oldtown,1,4.4,348.3
81.2,2,2.0,37.0,eastgate,1,3.4,257.9
117.1,4,2.0,40.0,oldtown,0,8.7,400.0
139.6,3,2.0,28.0,eastgate,0,15.0,385.9
110.4,3,2.0,8.0,oldtown,0,1.1,424.9
156.5,4,2.0,22.0,riverside,1,8.2,707.6
140.0,4,2.0,50.0,greenfield,0,5.1,418.6
139.5,4,2.0,12.0,greenfield,1,7.7,478.0
129.4,3,1.0,9.0,oldtown,1,1.7,526.8
191.5,5,4.0,6.0,greenfield,0,14.9,682.7
102.8,3,2.0,49.0,oldtown,1,17.8,304.9
40.0,2,1.0,7.0,hillview,1,10.9,163.6
166.1,3,2.0,34.0,greenfield,1,20.2,472.2
94.0,3,1.0,59.0,oldtown,1,4.9,322.9
113.8,4,3.0,38.0,hillview,0,8.1,379.2
155.8,4,2.0,24.0,eastgate,1,11.0,520.8
53.9,2,1.0,12.0,riverside,0,8.8,177.2
66.2,1,1.0,0.0,oldtown,1,5.4,268.2
54.0,1,1.0,9.0,oldtown,0,5.9,186.7
82.2,1,1.0,57.0,eastgate,1,16.7,218.2
125.4,2,1.0,8.0,riverside,1,6.5,619.3
128.3,4,2.0,1.0,oldtown,0,14.4,504.0
119.7,3,1.0,48.0,eastgate,0,7.0,345.2
60.6,1,1.0,25.0,riverside,1,14.3,154.0
40.0,1,1.0,21.0,oldtown,0,7.1,140.5
111.9,2,1.0,43.0,eastgate,1,10.3,292.4
93.5,3,1.0,31.0,eastgate,1,3.8,286.4
126.1,3,1.0,54.0,riverside,0,8.1,466.7
134.6,4,2.0,28.0,greenfield,1,7.0,469.6
114.8,4,2.0,42.0,eastgate,1,4.8,397.3
136.6,4,2.0,52.0,oldtown,1,5.1,435.3
118.0,4,2.0,27.0,eastgate,0,7.0,386.2
128.6,5,3.0,17.0,eastgate,0,13.2,395.2
85.3,2,1.0,58.0,eastgate,0,4.6,199.9
103.7,3,1.0,13.0,eastgate,1,7.5,360.3
116.9,4,2.0,2.0,oldtown,1,14.3,368.2
138.7,5,3.0,34.0,greenfield,1,10.2,483.1
96.2,2,1.0,59.0,eastgate,0,1.2,251.5
128.2,3,1.0,5.0,greenfield,1,1.7,469.1
100.7,4,2.0,50.0,riverside,1,8.9,287.2
105.9,3,2.0,49.0,greenfield,1,4.4,338.4
139.0,4,1.0,55.0,greenfield,0,1.4,416.0
40.2,1,1.0,25.0,oldtown,1,4.2,152.8
64.6,2,1.0,15.0,riverside,0,9.1,258.4
58.1,2,1.0,30.0,eastgate,0,5.0,152.4
40.0,1,1.0,8.0,hillview,1,6.9,228.3
86.3,2,1.0,50.0,eastgate,1,5.4,251.8
136.2,4,2.0,39.0,eastgate,0,3.7,419.4
100.0,2,1.0,28.0,greenfield,1,8.0,324.3
116.9,4,2.0,30.0,hillview,1,1.3,492.3
148.1,6,2.0,42.0,eastgate,0,3.3,474.0
156.5,3,2.0,31.0,oldtown,1,11.6,542.1
107.6,3,2.0,50.0,hillview,0,1.7,373.9
157.4,4,2.0,55.0,riverside,0,6.7,636.8
113.2,4,1.0,56.0,hillview,0,4.7,392.0
80.7,2,1.0,37.0,hillview,1,4.4,302.3
89.2,3,2.0,44.0,eastgate,0,12.3,215.6
58.2,2,2.0,18.0,eastgate,0,14.1,232.0
78.9,2,1.0,2.0,oldtown,1,2.6,331.9
97.5,3,1.0,24.0,riverside,1,5.8,384.7
138.1,3,2.0,52.0,riverside,1,0.9,548.9
170.2,6,4.0,8.0,greenfield,1,11.9,655.6
61.6,2,1.0,32.0,greenfield,0,6.4,217.5
123.7,4,3.0,11.0,oldtown,0,1.6,504.6
73.6,1,2.0,25.0,oldtown,1,3.4,310.0
126.6,3,2.0,8.0,oldtown,1,2.4,601.0
105.4,3,2.0,44.0,eastgate,0,3.3,313.9
45.9,1,1.0,48.0,oldtown,0,1.0,120.9
142.5,4,2.0,45.0,riverside,0,16.6,532.0
88.8,3,1.0,42.0,hillview,0,2.7,360.3
91.3,2,1.0,14.0,oldtown,1,6.7,363.8
72.6,3,2.0,31.0,oldtown,1,9.1,249.2
87.1,2,1.0,6.0,riverside,0,14.1,344.4
125.0,3,2.0,22.0,eastgate,1,6.8,469.9
103.4,2,1.0,30.0,hillview,1,5.4,414.5
121.5,4,2.0,40.0,oldtown,0,7.1,452.1
122.7,2,1.0,5.0,eastgate,0,2.6,429.3
156.2,5,3.0,48.0,oldtown,1,2.8,662.2
98.0,2,1.0,27.0,eastgate,0,5.3,297.1
58.3,2,2.0,52.0,greenfield,1,0.6,206.8
147.4,4,2.0,31.0,riverside,1,3.7,695.4
98.4,4,2.0,32.0,greenfield,1,4.5,364.8
149.0,4,2.0,41.0,eastgate,1,22.2,384.6
123.4,3,2.0,49.0,eastgate,1,15.3,342.9
105.4,3,1.0,9.0,oldtown,1,9.1,410.5
122.2,4,3.0,30.0,oldtown,0,12.1,424.3
182.7,5,2.0,28.0,greenfield,1,7.2,599.3
112.4,3,1.0,48.0,eastgate,1,11.0,336.9
115.6,2,2.0,51.0,hillview,1,7.0,414.7
147.7,4,2.0,17.0,hillview,0,1.7,644.2
80.4,1,1.0,23.0,riverside,1,8.4,399.1
121.7,4,2.0,33.0,riverside,1,7.0,547.8
109.1,3,1.0,23.0,eastgate,1,9.7,323.3
121.0,5,2.0,10.0,hillview,1,13.9,521.1
80.8,2,1.0,18.0,eastgate,1,2.9,259.1
54.4,1,1.0,24.0,eastgate,1,7.0,205.9
40.0,2,2.0,31.0,eastgate,0,13.6,69.8
70.9,3,1.0,55.0,greenfield,0,6.9,201.1
93.9,2,1.0,32.0,riverside,1,12.4,319.6
99.7,3,2.0,23.0,eastgate,1,5.4,291.4
109.8,5,2.0,39.0,eastgate,1,5.7,578.7
148.7,4,2.0,46.0,riverside,0,6.7,471.0
76.3,2,1.0,25.0,oldtown,0,19.3,240.9
122.2,3,1.0,29.0,oldtown,0,11.7,360.9
95.8,2,1.0,13.0,oldtown,1,3.6,356.6
100.0,3,1.0,51.0,hillview,1,7.6,368.2
116.5,4,1.0,52.0,riverside,1,5.1,466.7
131.7,4,2.0,10.0,eastgate,0,4.4,415.0
98.1,2,1.0,20.0,riverside,1,9.5,473.3
147.2,5,2.0,16.0,riverside,1,8.1,667.4
70.0,2,1.0,55.0,oldtown,0,2.9,199.0
110.2,3,1.0,3.0,oldtown,1,6.7,445.9
200.9,6,3.0,12.0,greenfield,1,4.3,771.2
117.8,2,1.0,18.0,oldtown,0,9.0,420.7
160.2,4,2.0,33.0,oldtown,0,4.1,568.0
113.2,3,2.0,14.0,oldtown,1,5.8,448.2
109.8,4,2.0,32.0,oldtown,1,4.5,499.1
108.0,3,1.0,44.0,riverside,1,1.2,365.6
104.0,3,2.0,49.0,eastgate,1,18.7,225.9
82.7,2,1.0,5.0,oldtown,0,6.7,374.9
109.8,4,2.0,8.0,eastgate,1,19.1,373.5
80.2,2,1.0,5.0,hillview,1,6.9,358.1
133.3,4,2.0,54.0,greenfield,0,10.7,355.5
148.0,4,2.0,39.0,eastgate,1,3.9,445.9
